Receptazonosító,Étel az étlapon,Alapanyag a raktárból,Mennyiség,Egységár,Sor költsége
7 DAYS Cream&Cookies,7 DAYS Cream&Cookies,7DAYS dupla csokis croi,1,Ft313,313
7DAYS dupla csokis croi,7DAYS dupla csokis croi,7DAYS dupla csokis croi,1,Ft313,313
7DAYS midi Csokis croi,7DAYS midi Csokis croi,7DAYS midi Csokis croi,1,Ft197,197
7DAYS midi Epres croi,7DAYS midi Epres croi,7DAYS midi Epres croi,1,Ft197,197
"7UP Zero 0,33","""7UP Zero 0,33""","""7UP Zero 0,33""",1,Ft176,176
Baconos Crassh Mogyi,Baconos Crassh Mogyi,Baconos Crassh Mogyi,1,Ft203,203
Baguette sonkás FREDDO,Baguette sonkás FREDDO,Baguette sonkás FREDDO,1,Ft585,585
Baguette szalámis FREDDO,Baguette szalámis FREDDO,Baguette szalámis FREDDO,1,Ft585,585
Baguette tonhalas  FREDDO,Baguette tonhalas  FREDDO,Baguette tonhalas  FREDDO,1,Ft585,585
Bécsis zsemle,Bécsis zsemle,Hamburger zsemle Europastry,1,Ft124,124
Bécsis zsemle,Bécsis zsemle,Csirke bécsi Stritzinger 100gr/db,1,Ft337,337
Bécsis zsemle,Bécsis zsemle,Majonéz Heinz,20,Ft2,42
Bécsis zsemle,Bécsis zsemle,Csemegeuborka,40,Ft1,52
Bécsis zsemle,Bécsis zsemle,Fritőz sütőolaj Romi,15,Ft12,180
Bécsis zsemle,Bécsis zsemle,Hamburger tasak,1,Ft5,5
"Canada Dry 0,33","""Canada Dry 0,33""","""Canada Dry 0,33""",1,Ft181,181
"Cappy Mango-Passion 0,5","""Cappy Mango-Passion 0,5""","""Cappy Mango-Passion 0,5""",1,Ft291,291
"Cappy Meggy 0,5","""Cappy Meggy 0,5""","""Cappy Meggy 0,5""",1,Ft292,292
"Cappy Multivitamin 0,5","""Cappy Multivitamin 0,5""","""Cappy Multivitamin 0,5""",1,Ft292,292
CChups XXL nyalóka,CChups XXL nyalóka,CChups XXL nyalóka,1,Ft200,200
Cerbona Csokis,Cerbona Csokis,Cerbona Csokis,1,Ft89,89
Cerbona Ét-Málna,Cerbona Ét-Málna,Cerbona Ét-Málna,1,Ft89,89
Cerbona Meggyes,Cerbona Meggyes,Cerbona Meggyes,1,Ft89,89
"Cherry Coke 0,5","""Cherry Coke 0,5""","""Cherry Coke 0,5""",1,Ft278,278
