Cikk neve,Kategória,Beszerzési ár (nettó),Kiszerelés,Mértékegység,Egységár,Hol használjuk,Beérkezett áruk
Baconszalonna szeletelt,Alapanyag,Ft2689,1000,gr,Ft3,,
Barbecue Szósz Heinz,Alapanyag,Ft4749,2500,gr,Ft2,Tépett húsos szendvics,
Burger szósz Heinz,Alapanyag,Ft2539,920,gr,Ft3,,
Cheddar sajt reszelt,Alapanyag,Ft3499,1000,gr,Ft3,"Vega - sajtkrémes panini,Tépett húsos szendvics",
Csirke bécsi Stritzinger 100gr/db,Alapanyag,Ft10107,30,db,Ft337,Bécsis zsemle,
Csokis szuflé málnás töltött,Édesség,Ft7918,22,db,Ft360,Csoki szuflé málnás ,
Csokoládés szuflé,Édesség,Ft9718,24,db,Ft405,Csoki szuflé ,
Dubai fánk ,Édesség,Ft8829,33,db,Ft268,Dubai fánk,
Fánk vegyes íz,Édesség,Ft7743,33,db,Ft235,Fánk vegyes íz ,
Fritőz sütőolaj Romi,Segédanyag,Ft17999,1500,ml,Ft12,"Hasábburgonya,Csirke nuggets 5,Csirke nuggets 10,Rántott csirkecombfilé,Bécsis zsemle",
Hagyma Chutney,Alapanyag,Ft1869,500,gr,Ft4,Tépett húsos szendvics,
Hamburger zsemle Europastry,Pékárú,Ft7460,60,db,Ft124,"Tépett húsos szendvics,Bécsis zsemle",
Hasábburgonya Julienne,Alapanyag,Ft789,1000,gr,Ft1,Hasábburgonya,
Ketchup Heinz,Alapanyag,Ft1479,1000,gr,Ft1,"Sima hotdog,Sajtos Hotdog ,Baconos sajtos hotdog",
Krémsajt,Alapanyag,Ft3599,1500,gr,Ft2,"Vega - sajtkrémes panini,Sonkás sajtos panini",
Majonéz Heinz,Alapanyag,Ft1629,775,gr,Ft2,"Sima Hotdog,Sajtos Hotdog,Baconos sajtos hotdog,Bécsis zsemle",
Mozzarella ,Alapanyag,Ft4248,2500,gr,Ft2,Sonkás sajtos panini,
Muffin nagy dupla csokis,Édesség,Ft7837,32,db,Ft245,Muffin dupla csokis,
Muffin pisztáciás Europastry,Édesség,Ft6506,20,db,Ft325,Muffin pisztáciás,
Mustár Heinz,Alapanyag,Ft1819,940,gr,Ft2,"Sima Hotdog,Sajtos Hotdog ,Baconos sajtos hotdog",
Paprikás szalámi Kaiser,Alapanyag,Ft1509,500,gr,Ft3,,
Sonka Prosciutto Crudo,Alapanyag,Ft3079,500,gr,Ft6,Sonkás sajtos panini,
Tépett pulled pork sous vide,Alapanyag,Ft4355,1200,gr,Ft4,Tépett húsos szendvics,
Trappista sajt reszelt Ammerland,Alapanyag,Ft2199,1000,gr,Ft2,,
Panini elősütött,Pékárú,Ft8045,60,db,Ft134,"Sonkás sajtos panini,Vega - sajtkrémes panini",
Hotdog virsli Sajtos- Baconos,Alapanyag,Ft6342,30,db,Ft211,Baconos sajtos hotdog,
Hotdog virsli Sajtos,Alapanyag,Ft5038,28,db,Ft180,Sajtos Hotdog,
Hotdog virsli Classic,Alapanyag,Ft4807,28,db,Ft172,Sima Hotdog,
Kifli Hotdog,Pékárú,Ft13628,120,db,Ft114,"Sima Hotdog,Sajtos Hotdog ,Baconos sajtos hotdog ",
Pizza Sonkás,Késztermék,Ft1599,1,db,Ft1599,Sonkás Pizza,
